g,i,x,y,y_hat,source
1,0.5,0.3,0.032,0.032070043672410765,observed
1,0.5,0.4769,0.0167,0.016445223404379098,observed
1,0.5,0.5817,0.013,0.013398559611611169,observed
1,0.5,0.6878,0.0128,0.012517346594092493,observed
1,0.5,1.1,0.013,0.013029431166953593,observed
1,0.999,0.3,0.9,0.89991903487235,observed
1,0.999,0.4769,0.47,0.4633020721779885,observed
1,0.999,0.5817,0.2682,0.28004392961780306,observed
1,0.999,0.6878,0.1867,0.1792961246367712,observed
1,0.999,1.1,0.0571,0.05747821458491656,observed
